model,accuracy,precision,recall,f1_score,roc_auc,mcc
Weighted (default threshold=0.5),0.8260869565217391,1.0,0.7894736842105263,0.8823529411764706,0.9901315789473684,0.6282808624375432
Weighted + tuned threshold (0.10),0.9565217391304348,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9901315789473684,0.8486842105263158
